,bed,bath,sqft,price,lat,long
2993,2,3.1,1481,900000,34.04547845276031,-118.77542331403312
2994,3,2.1,1312,979000,34.011706,-118.2047921
2995,5,4.0,2480,958000,33.99794012364733,-117.80878803809263
2996,3,2.0,1430,949000,34.04325524390244,-118.34767570731708
2997,5,3.0,2735,945000,33.99694207316071,-117.81545415330866
2999,3,2.0,1641,995000,34.16907145510567,-118.041403465051
3000,4,3.1,2027,899950,34.16773799280475,-118.60156267515158
3002,5,5.1,2992,949800,34.101453428724106,-117.95734138794482
3003,4,2.1,3476,998000,34.25222811516275,-118.61358325892303
3004,2,1.0,1224,915000,34.12934659456397,-118.34918970742036
3005,5,5.1,2992,949800,34.101453428724106,-117.95734138794482
3006,3,2.0,1950,939900,34.00140791242121,-118.34778693934088
3007,2,2.1,1659,998750,34.043752,-118.468558625
3008,2,2.0,1000,995000,34.096518022919156,-118.60204972945043
3009,2,2.0,1170,999000,34.13348925,-118.26862933333334
3010,4,3.0,1668,979000,33.90511978064275,-118.3677211837825
3011,5,3.0,2607,950000,33.87825287755102,-118.05629781632653
3012,6,3.0,1956,949000,34.030777875,-118.30954700000001
3013,4,3.0,1913,959000,33.78244704232463,-118.31477596254065
3014,3,2.0,1270,975000,33.998756551020406,-118.40641259183674
3015,3,2.0,1298,899000,34.1089282,-118.2013975
3016,3,2.0,1875,895000,34.1816703,-118.4487282
3017,2,2.0,1497,995000,34.127137831935464,-118.3495128878176
3019,3,3.0,1927,949000,34.18175410382942,-118.34796410219683
3021,3,2.0,1650,899000,34.233629,-118.266268
3022,3,3.0,1330,899000,34.1661670417423,-118.61137738399304
3023,4,3.0,2799,997900,33.96854231818182,-117.85447768181818
3024,4,3.0,2888,989000,33.85711449985134,-118.0967759198454
3026,6,5.0,3700,988000,33.959753162926035,-117.90810382080444
3027,3,3.1,2450,999000,34.09767576763237,-118.37509338892087
3029,3,2.0,1883,1004500,34.13836877800248,-118.17714257046774
3030,4,2.0,1570,919000,34.03773085858586,-118.35537842424243
3031,4,3.0,2417,998000,34.203236,-118.657236
3033,5,3.0,2702,918000,34.30428915384615,-118.50476469230769
3034,3,2.0,2072,998800,34.109701673913044,-118.11041795652174
3035,3,2.2,1861,919000,33.9959463,-118.35123697059925
3037,3,1.0,1968,949500,34.11089027694145,-118.11620116823448
3038,4,3.0,2472,1000000,34.139573072372954,-118.18330074366155
3039,3,2.1,1894,899000,34.03605433333333,-117.83786024999999
3040,2,2.0,990,999000,34.07313595918367,-118.26380657142857
3042,3,3.0,2803,965000,33.959703833333336,-118.13736166666666
3043,3,2.0,1625,925000,34.1442128,-118.0815718
3045,7,3.0,3605,960000,34.0599804196416,-118.0930034820091
3046,6,8.0,4416,900000,34.2223132,-118.4874591
3047,5,3.0,2434,899000,34.26159225974026,-118.34203207792207
3048,3,2.0,1525,948000,34.18304895,-118.12554580558401
3049,3,3.0,2065,995000,34.11485623406434,-118.23036366531537
3050,3,2.0,1947,945000,34.15997344897959,-118.01124906122449
3052,6,4.0,3193,1490000,33.91191717446245,-117.93158403574687
3053,3,2.0,1354,1197000,33.53039995,-117.75476490261781
3054,4,3.1,4108,1295000,33.624742100000006,-117.56996332555556
3055,6,4.0,3100,1075000,33.566063549999996,-117.63875736180745
3056,4,2.1,1860,999999,33.6477475,-117.96246639243508
3058,3,2.1,1881,1449000,33.6388214,-117.88578685030424
3059,4,3.0,3335,1399000,33.5022515,-117.6377377615442
3061,5,4.1,3100,1286000,33.6727145,-117.67692330673395
3062,4,3.0,2776,1250000,33.899343496028635,-117.93553139614795
3064,2,2.2,2337,1275000,33.5112555,-117.7351678
3065,4,2.1,2248,1075000,33.5806984,-117.7412309330997
3066,3,3.1,2578,1250000,33.67585935,-117.99838654392033
3067,3,2.0,1936,1100000,33.674117499999994,-117.8101537986957
3068,6,4.0,2698,995000,33.7715205,-117.96684549780895
3073,4,3.0,2615,1100000,33.69647865,-118.01906085253907
3074,4,3.1,2878,1200000,33.69246745,-117.81598833636093
3075,5,3.1,4305,1299990,33.468125,-117.61901240853243
3076,3,2.0,1510,1100000,33.4811823,-117.6935203
3077,4,3.0,2479,1099000,33.43597235,-117.59086994835916
3078,6,5.0,2714,1149000,33.5870148,-117.66918153758931
3080,4,3.0,2741,999000,33.9077033,-117.95303407540831
3081,4,4.1,3417,1368888,33.66948875,-117.88778994718614
3082,4,3.0,3035,1168000,33.569149749999994,-117.63275141461615
3083,3,2.1,1500,1449000,33.4745202,-117.7092311
3085,5,4.0,2600,1150000,33.701854,-117.794075
3087,4,4.0,2713,1100000,33.82969165,-117.83969187759564
3088,5,4.1,3489,1320000,33.909434,-117.970132
3089,3,3.0,2918,999999,33.590387199999995,-117.74302973938029
3090,4,4.0,2536,1213457,33.6861271,-117.69967447962962
3091,6,3.0,3200,1250000,33.5501886,-117.63026310000001
3092,4,3.0,2078,1275000,33.784833899999995,-118.08443141292008
3093,5,3.0,2500,1099000,33.46098335,-117.66254110411862
3094,5,4.0,4200,1495000,33.573202,-117.684845
3095,5,3.0,2344,1199000,33.702650750000004,-118.02197411023985
3096,5,3.0,2958,1050000,33.5494767,-117.6303277
3097,5,3.1,3400,1249000,33.571626949999995,-117.64035189227926
3098,4,2.0,3480,1324500,33.50184385,-117.72078350007689
3099,2,3.1,1719,1190000,33.631128,-117.9316838
3100,6,3.0,3009,1138000,33.90472885,-117.76227920061623
3101,4,3.0,3836,1489900,33.6410075,-117.62815264139041
3102,3,2.1,1933,1139999,33.672546350000005,-117.99834094071952
3103,5,5.0,2900,1174000,33.4564337,-117.62063603177307
3104,3,3.1,2421,1250000,33.67224004639485,-118.01178311632586
3105,4,3.1,3960,1495000,33.90829275,-117.82996887272728
3106,3,3.1,3274,1299000,33.88658595,-117.95153607449774
3107,5,3.0,2852,1195000,33.481665449999994,-117.59327195331272
